ID,ResponseID,StartDate,Condition,ModelBonus,ModelAAEEstimate,HumanAAEEstimate,ModelConfidence,HumanConfidence,Age,Gender,Education,AAE,ModelAAE,HumanAAE,Bonus,BonusFromModel,BonusFromHuman,ChangesUsed,ChangesUsedMax10,CorrelationWithModel,AvDiffFromModel,AvAdjustmentSize,AdjustmentDividedByPotential,HumModelCorrelation,HumModelAvDiff,AvgLargest10Changes,Treatment,AnyBonus
88,R_3UULl8C4iDUboO1,20/10/2014 13:27,2,0,17.5,10,4,3,18,0,3,25.9,19.85,25.9,0,2,0,.,.,0.789352999,19.15,20.15789474,19.15,0.789352999,19.15,26.9,1,0
89,R_3WbiVTFDsppzbGl,21/10/2014 13:44,2,1,5,10,3,2,20,1,3,19.5,18.6,19.5,2,2,2,.,.,0.937459815,5.2,5.473684211,5.2,0.937459815,5.2,7.7,1,1
90,R_3WWJDfV2flLyf09,22/10/2014 13:29,2,1,20,10,4,4,20,0,3,16.65,19,16.65,2,2,2,.,.,0.975148802,5.75,6.764705882,5.75,0.975148802,5.75,9,1,1
91,R_3yDmR5pIgdHPChn,22/10/2014 12:25,2,1,17,10,2,2,21,0,5,17.55,18.45,17.55,2,2,2,.,.,0.963432942,6,6.666666667,6,0.963432942,6,8.8,1,1
92,R_3ymDvS7lAQsGuP3,21/10/2014 13:36,4,.,50,50,3,4,22,0,3,20.55,18.35,20.55,1,2,1,.,.,0.861476599,10.6,12.47058824,10.6,0.861476599,10.6,17.5,1,1
93,R_3yn9sUWkFxZ3FnT,22/10/2014 12:26,4,.,10,10,2,1,.,.,.,27.25,18.7,27.25,0,2,0,.,.,0.66737051,12.45,12.45,12.45,0.66737051,12.45,18.6,1,0
94,R_3z01CiCPKMZh1B3,20/10/2014 14:22,1,1,15,20,3,2,21,0,3,21.6,21.6,22.2,1,1,1,.,.,1,0,0,0,0.807066233,10.3,0,0,1
95,R_40zScsajvnInWRv,22/10/2014 15:48,2,1,5,7,4,3,55,1,2,20.4,20.4,20.4,1,1,1,.,.,1,0,0,0,1,0,0,1,1
96,R_41L32xA9jv7qQuN,23/10/2014 13:25,1,1,17.5,10,3,2,30,1,6,16.2,16.2,23.8,2,2,1,.,.,1,0,0,0,0.70642647,20.6,0,0,1
97,R_42fukrE3Ky8kcip,20/10/2014 15:32,3,0,17.5,15,2,1,18,0,2,21.9,20.75,21.9,1,1,1,.,.,0.672805637,19.45,19.45,19.45,0.672805637,19.45,27.2,1,1
98,R_4Gx4ea7bTy8HcAR,21/10/2014 14:20,1,0,25,25,2,4,19,0,3,18.95,17.9,18.95,2,2,2,.,.,0.830771875,13.85,13.85,13.85,0.830771875,13.85,20.6,0,1
99,R_4I0PPSRqWtvWj89,20/10/2014 15:33,4,.,20,25,3,3,22,0,3,22.35,19.15,22.35,1,2,1,.,.,0.739508967,9.6,10.10526316,9.6,0.739508967,9.6,14,1,1
100,R_4I7ac46Cv03TVWt,21/10/2014 12:16,2,0,17,30,4,3,19,1,3,19.55,16.65,19.55,2,2,2,.,.,0.751195692,17.3,17.3,17.3,0.751195692,17.3,23.9,1,1
101,R_4I8lmwPBxRrzJAx,20/10/2014 14:34,2,1,17.5,20,2,3,19,0,3,18.8,18.45,18.8,2,2,2,.,.,0.960897067,4.25,4.722222222,4.25,0.960897067,4.25,6.4,1,1
102,R_4IxA17hCvESdf9z,23/10/2014 14:33,1,1,4,8,4,3,19,0,3,21.45,21.45,33.2,1,1,0,.,.,1,0,0,0,0.478384866,29.05,0,0,1
103,R_4Ji96bc2fPfHvMN,20/10/2014 15:29,3,1,20,10,2,3,19,1,3,16.4,17.85,16.4,2,2,2,7,7,0.941534943,4.75,13.57142857,9.5,0.941534943,4.75,9.5,1,1
104,R_4ME641ginm8Xkyh,22/10/2014 12:38,4,.,15,15,4,3,19,0,3,20.7,17.25,20.7,1,2,1,.,.,0.811733544,13.25,14.72222222,13.25,0.811733544,13.25,19.7,1,1
105,R_4PGC24RVFtLjJFH,22/10/2014 15:57,4,.,17.5,17.5,3,3,20,1,3,17,17,17,2,2,2,.,.,1,0,0,0,1,0,0,1,1
106,R_4PJrZtjt0mz5vVP,22/10/2014 12:42,3,1,13,16,3,3,22,0,3,17.9,18.4,17.9,2,2,2,13,10,0.97125215,4,8,8,0.946728908,5.85,8,1,1
107,R_4SdqWWaSiRJqRLL,20/10/2014 13:26,1,0,15,8,4,3,20,0,3,30.4,17.8,30.4,0,2,0,.,.,0.742629598,21.6,21.6,21.6,0.742629598,21.6,31.9,0,0
108,R_4SgFDzoBg2uCIUl,20/10/2014 12:40,3,1,10,10,3,3,18,0,3,17.6,16.35,17.6,2,2,2,10,10,0.95998913,3.45,6.9,6.9,0.95998913,3.45,6.9,1,1
109,R_4TpTszTQnSElZD7,21/10/2014 15:40,4,.,8,10,3,3,19,1,3,18.4,18.75,18.4,2,2,2,.,.,0.979544755,3.65,4.055555556,3.65,0.979544755,3.65,5.7,1,1
110,R_4UwNdIERQj9ubm5,20/10/2014 13:30,2,1,8,12,4,3,19,1,3,16.8,19,16.8,2,2,2,.,.,0.976747704,5.5,5.789473684,5.5,0.976747704,5.5,7.3,1,1
111,R_4VCnXbT8iXtSmnr,20/10/2014 13:22,2,1,17.5,20,3,3,21,0,3,17.3,17.2,17.3,2,2,2,.,.,0.932461679,6.8,7.555555556,6.8,0.932461679,6.8,10,1,1
112,R_4Z571PmjbSZPRYN,23/10/2014 13:29,4,.,15,7,4,3,19,1,3,20,19,20,2,2,2,.,.,0.954876117,5.6,6.222222222,5.6,0.954876117,5.6,8.5,1,1
113,R_4Z7qjr0bPweb3Pn,21/10/2014 14:39,3,0,17,20,3,2,18,0,3,24.05,16.75,24.05,1,2,1,.,.,0.779227405,22,22,22,0.779227405,22,31.3,1,1
114,R_51PIELcCuKEyIe1,22/10/2014 15:25,3,0,15,20,4,4,26,0,6,21.7,19.05,21.7,1,2,1,.,.,0.808898837,14.95,15.73684211,14.95,0.808898837,14.95,20.8,1,1
115,R_553yc9olOfyqaQl,20/10/2014 14:28,3,1,15,10,3,4,21,1,3,18.85,18.75,18.85,2,2,2,9,9,0.915767249,7.1,15.77777778,14.2,0.915767249,7.1,14.2,1,1
116,R_56nLUzzXxYys8Yt,22/10/2014 14:32,3,1,17.5,15,4,4,19,0,3,16.75,16.1,16.75,2,2,2,10,10,0.919965452,5.05,10.1,10.1,0.919965452,5.05,10.1,1,1
117,R_56WPFWIPFmd1gWN,21/10/2014 12:30,4,.,4,4,4,4,19,1,3,16.4,18.9,16.4,2,2,2,.,.,0.970019678,3.5,3.888888889,3.5,0.970019678,3.5,5.5,1,1
118,R_5b4VKgSHAS5Bzo1,20/10/2014 15:36,3,1,7,8,3,2,20,0,3,18.9,18.6,18.9,2,2,2,10,10,0.877890041,5.3,10.6,10.6,0.877890041,5.3,10.6,1,1
119,R_5cZSNYnAeVHoCqh,22/10/2014 13:33,3,0,11,13,4,4,55,1,4,31.3,18.95,31.3,0,2,0,.,.,0.345325284,27.15,27.15,27.15,0.345325284,27.15,40.2,1,0
120,R_5dJ03aFwFlhppRz,21/10/2014 12:20,2,0,13,15,4,3,20,0,2,27.25,18.4,27.25,0,2,0,.,.,0.769666,21.05,21.05,21.05,0.769666,21.05,28.7,1,0
121,R_5hGBq2MPHHhSwqV,22/10/2014 14:27,2,1,8,10,4,3,20,0,3,16.15,16,16.15,2,2,2,.,.,0.96938333,4.05,4.05,4.05,0.96938333,4.05,5.4,1,1
122,R_5itj2lhgKeFUIVT,21/10/2014 15:37,3,1,15,15,3,4,18,0,3,20.5,17.9,20.5,1,2,1,9,9,0.87239531,8.2,18.22222222,16.4,0.87239531,8.2,16.4,1,1
123,R_5jpyG8puA5Y2l3D,22/10/2014 14:20,2,1,18,15,2,3,20,0,5,16.8,16.3,16.8,2,2,2,.,.,0.963218515,5.4,5.684210526,5.4,0.963218515,5.4,7.6,1,1
124,R_5oqu7hmACmhflrf,20/10/2014 14:31,1,0,20,25,4,4,54,0,5,23.9,15.25,23.9,1,2,1,.,.,0.649252226,21.85,21.85,21.85,0.649252226,21.85,33.4,0,1
125,R_5uqVi3tEZSkZWex,20/10/2014 15:36,2,1,15,10,3,2,27,1,6,19.7,19.05,19.7,2,2,2,.,.,0.98778939,2.45,2.45,2.45,0.98778939,2.45,3.6,1,1
